edge_id,from_node,to_node,distance,is_oneway
1,1,2,67.8,0
2,1,4,61.9,0
3,1,6,98.6,0
4,2,5,67.3,0
5,3,4,27.5,0
6,4,9,36.3,0
7,5,7,27.4,0
8,5,13,125.9,0
9,8,9,33.8,0
10,8,10,30.7,0
11,9,12,43.4,0
12,11,12,42.5,0
13,12,14,89.4,0
14,13,33,356.9,0
15,14,15,85.6,0
16,15,16,72.2,0
17,15,18,36,0
18,16,17,20.2,0
19,17,20,19.6,0
20,18,19,23.5,0
21,18,23,68.2,0
22,19,20,70.2,0
23,19,21,35.8,0
24,20,22,40.7,0
25,21,22,83.9,0
26,21,24,33.8,0
27,22,27,34.2,0
28,23,24,30.5,0
29,23,28,41.9,0
30,24,25,23.4,0
31,25,26,37.1,0
32,25,31,57.4,0
33,26,27,32.9,0
34,26,30,52.7,0
35,27,35,88.6,0
36,28,29,38.3,0
37,28,32,37.4,0
38,29,31,37.9,0
39,30,31,36.5,0
40,30,34,39,0
41,32,36,68.9,0
42,32,38,97.5,0
43,33,37,58.9,0
44,33,39,95.2,0
45,34,35,29.6,0
46,34,36,64.6,0
47,35,37,168.8,0
48,35,50,124.1,0
49,36,44,93.4,0
50,38,40,19.9,0
51,38,45,92,0
52,39,41,34.7,0
53,39,51,110.5,0
54,40,42,34.1,0
55,40,52,86.9,0
56,41,46,39.9,0
57,42,44,47.4,0
58,42,56,85.6,0
59,43,47,21.3,0
60,43,54,68,0
61,44,50,130.5,0
62,44,55,59.5,0
63,45,48,21,0
64,45,81,165,0
65,46,54,52.6,0
66,48,52,35.1,0
67,48,64,71.3,0
68,49,58,39.6,0
69,50,71,64.3,0
70,51,58,36.4,0
71,51,61,49.1,0
72,52,56,33.3,0
73,52,70,71.5,0
74,53,68,65,0
75,54,66,74.1,0
76,54,72,77.4,0
77,55,62,28.5,0
78,55,63,59.5,0
79,56,62,45.5,0
80,56,75,70.1,0
81,57,59,15,0
82,57,63,17.2,0
83,58,72,55.2,0
84,60,64,24.4,0
85,61,77,61.8,0
86,61,105,186.4,0
87,62,69,21.9,0
88,64,70,35.8,0
89,64,89,87.7,0
90,65,71,79.5,0
91,65,78,61.2,0
92,66,68,13.8,0
93,66,73,23.2,0
94,67,71,43.7,0
95,68,87,109.1,0
96,69,78,79.7,0
97,69,80,48,0
98,70,75,33.7,0
99,70,94,86.9,0
100,71,76,24.3,0
101,72,92,98.5,0
102,73,82,38.4,0
103,74,76,39.4,0
104,74,91,70.5,0
105,75,80,47.6,0
106,75,98,90,0
107,76,96,54.3,0
108,77,90,49.7,0
109,77,115,119.5,0
110,78,85,14.4,0
111,78,86,32.5,0
112,79,85,16.1,0
113,80,84,11.4,0
114,81,108,71,0
115,83,89,25.7,0
116,84,93,71.4,0
117,84,97,39.9,0
118,86,95,27.8,0
119,86,101,85.2,0
120,87,91,14.1,0
121,87,100,63.1,0
122,88,93,27.8,0
123,89,94,37.3,0
124,89,111,67.9,0
125,90,99,51.6,0
126,90,123,118,0
127,91,107,47.5,0
128,92,104,55.8,0
129,92,105,42.6,0
130,93,110,40.7,0
131,94,98,33.3,0
132,94,118,68.3,0
133,96,101,20.2,0
134,96,106,43.1,0
135,97,103,44.9,0
136,97,113,43.5,0
137,98,113,49.6,0
138,98,124,65.8,0
139,99,119,55.3,0
140,99,135,143.3,0
141,101,109,14.9,0
142,102,125,118.6,0
143,103,110,32.3,0
144,103,120,45.1,0
145,104,114,26.5,0
146,104,116,49.9,0
147,105,112,20.3,0
148,106,107,15.9,0
149,108,111,13.6,0
150,108,158,156.2,0
151,109,117,43,0
152,110,122,87.1,0
153,110,126,44.1,0
154,111,118,33.7,0
155,113,120,46.1,0
156,113,129,61.6,0
157,115,123,38.4,0
158,115,134,81.5,0
159,116,127,31.9,0
160,117,125,20.8,0
161,117,128,79.5,0
162,118,124,35.9,0
